status_incident_id,name,first_public_at_utc,last_update_at_utc,source_url,codex_related,has_rate_limit_language,collection_status
STATUS_01KVYNAMMJ7AMF94YBECG6JG6Q,Users may encounter issues using access token with Codex,2026-06-25T05:51:27.89Z,2026-06-25T11:03:57.94Z,https://status.openai.com/incidents/01KVYNAMMJ7AMF94YBECG6JG6Q,1,0,ok
STATUS_01KVZRA3Z551H993JHJ9P2TW9E,Small Number of Users Have Incorrectly Cancelled Subscription,2026-06-25T16:02:50.98Z,2026-06-26T02:18:06.698Z,https://status.openai.com/incidents/01KVZRA3Z551H993JHJ9P2TW9E,0,0,ok
STATUS_01KW2E6W0503W4NXJNCVAG8V6T,Codex Usage Limits Depleting Faster Than Expected,2026-06-26T17:04:02.053Z,2026-06-29T17:06:33.013Z,https://status.openai.com/incidents/01KW2E6W0503W4NXJNCVAG8V6T,1,1,ok
STATUS_01KW5HJAH5X1A2V62HP4ZST1V7,Issues with ChatGPT Windows desktop app,2026-06-27T22:00:26.405Z,2026-06-28T03:29:18.715Z,https://status.openai.com/incidents/01KW5HJAH5X1A2V62HP4ZST1V7,0,0,ok
STATUS_01KWDW344V7XWEQERJSEW62W57,"Codex, workspace analytics, conversation search, searching for custom GPTs, ChatGPT user invites, and Compliance Log Platform download endpoint not working in FedRAMP workspaces",2026-06-29T07:00:00Z,2026-07-11T02:11:01.736Z,https://status.openai.com/incidents/01KWDW344V7XWEQERJSEW62W57,1,0,ok
STATUS_01KWY5DQZ0KC8PTT3Y3T26H30D,Elevated errors with image generation in ChatGPT,2026-07-07T11:29:14.207Z,2026-07-07T16:12:58.196Z,https://status.openai.com/incidents/01KWY5DQZ0KC8PTT3Y3T26H30D,0,0,ok
STATUS_01KX46HHYJ0YB8VPBZTB0KZ03V,Users are experiencing elevated errors when selecting models,2026-07-09T19:44:14.289Z,2026-07-09T20:42:57.848Z,https://status.openai.com/incidents/01KX46HHYJ0YB8VPBZTB0KZ03V,0,0,ok
STATUS_01KX6Y1QMFX4NASV5DD591AD50,OpenAI website and Help Center content may be unavailable,2026-07-10T21:13:30.51Z,2026-07-10T23:07:39.322Z,https://status.openai.com/incidents/01KX6Y1QMFX4NASV5DD591AD50,0,0,ok
STATUS_01KX7Y6ETMKP3ATQ85Z33J0EHN,Elevated Errors for Sora API,2026-07-11T06:35:19.763Z,2026-07-11T07:03:51.923Z,https://status.openai.com/incidents/01KX7Y6ETMKP3ATQ85Z33J0EHN,0,0,ok
STATUS_01KXAVPTZ85KG478DP1YC0SV2V,Elevated conversation and login errors on ChatGPT for iOS and macOS,2026-07-12T09:49:34.055Z,2026-07-12T15:28:24.617Z,https://status.openai.com/incidents/01KXAVPTZ85KG478DP1YC0SV2V,0,0,ok
STATUS_01KXDBYJ7BWBE2NRDAQTKPM5WK,"Users may experience elevated errors uploading, deleting, and navigating files in the ChatGPT Library",2026-07-13T09:11:53.323Z,2026-07-13T14:35:47.689Z,https://status.openai.com/incidents/01KXDBYJ7BWBE2NRDAQTKPM5WK,0,0,ok
STATUS_01KXDMD4T8TM58CSKBN7YFD2CK,Elevated errors when creating sites in ChatGPT,2026-07-13T11:39:39.718Z,2026-07-13T12:59:55.887Z,https://status.openai.com/incidents/01KXDMD4T8TM58CSKBN7YFD2CK,0,0,ok
STATUS_01KXGJPKV743DPQZDZQ57VR0JQ,Some ChatGPT Go users may experience conversation failures when using GPT-5.5.,2026-07-14T15:07:36.166Z,2026-07-14T16:02:46.287Z,https://status.openai.com/incidents/01KXGJPKV743DPQZDZQ57VR0JQ,0,0,ok
STATUS_01KXHH1BJ9BS0FVE2MGEJ9FZ5M,Elevated errors affecting ChatGPT,2026-07-14T23:39:00Z,2026-07-15T00:39:32.247Z,https://status.openai.com/incidents/01KXHH1BJ9BS0FVE2MGEJ9FZ5M,0,0,ok
STATUS_01KXHK8YFSP8B9WP110W4XEM45,Issue affecting voice mode in ChatGPT,2026-07-15T00:36:51.321Z,2026-07-15T00:38:18.665Z,https://status.openai.com/incidents/01KXHK8YFSP8B9WP110W4XEM45,0,0,ok
STATUS_01KXN14DD3EYYJ6PJ9M736WDSV,Elevated Error Rates For SSO Login,2026-07-16T08:36:46.114Z,2026-07-16T15:23:13.103Z,https://status.openai.com/incidents/01KXN14DD3EYYJ6PJ9M736WDSV,0,0,ok
STATUS_01KXPJ62Z704GE0SRNKQA64X4X,Elevated errors for Github connector,2026-07-16T22:54:01.19Z,2026-07-17T00:17:49.173Z,https://status.openai.com/incidents/01KXPJ62Z704GE0SRNKQA64X4X,0,0,ok
STATUS_01KXRBA8B98QHMMVP3M86NHFZ1,New ChatGPT App Not Available For Enterprise Users Without Codex Permissions,2026-07-17T15:32:26.6Z,2026-07-18T08:24:02.247Z,https://status.openai.com/incidents/01KXRBA8B98QHMMVP3M86NHFZ1,1,0,ok
STATUS_01KXRHE25717D2WQ1WFMT2B7WZ,Codex 5.6-sol Experiencing Increased Server-Overload Errors,2026-07-17T17:19:22.79Z,2026-07-17T20:42:53.932Z,https://status.openai.com/incidents/01KXRHE25717D2WQ1WFMT2B7WZ,1,0,ok
STATUS_01KXT44TAQQ2R0AZDDVSJGAC4H,Some users are unable to access Codex,2026-07-18T08:05:37.238Z,2026-07-18T12:58:14.016Z,https://status.openai.com/incidents/01KXT44TAQQ2R0AZDDVSJGAC4H,1,0,ok
STATUS_01KXXDNEAKEPRGFM661SBJJAM6,Elevated errors affecting ChatGPT,2026-07-19T14:49:42.482Z,2026-07-19T17:05:02.474Z,https://status.openai.com/incidents/01KXXDNEAKEPRGFM661SBJJAM6,0,0,ok
STATUS_01KXYF4BTCV9DTZ5NDSFN716FH,Elevated errors for GitHub-dependent ChatGPT and Codex workflows,2026-07-20T00:34:34.443Z,2026-07-20T03:34:06.464Z,https://status.openai.com/incidents/01KXYF4BTCV9DTZ5NDSFN716FH,1,0,ok
STATUS_01KY23YCPJ9M5BFFT6ZHKQE9MP,Image generation unavailable in ChatGPT,2026-07-21T10:36:02.129Z,2026-07-27T19:04:42.562Z,https://status.openai.com/incidents/01KY23YCPJ9M5BFFT6ZHKQE9MP,0,0,ok
STATUS_01KY2ZF047ZNVDX0Z6F3QFXB1K,Issues with logins and signups,2026-07-21T18:36:57.862Z,2026-07-21T19:00:27.892Z,https://status.openai.com/incidents/01KY2ZF047ZNVDX0Z6F3QFXB1K,0,0,ok
STATUS_01KY32PEQHPV5F2W4HCNFJ60RD,Elevated errors for API image generation,2026-07-21T19:33:27.92Z,2026-07-21T22:19:31.797Z,https://status.openai.com/incidents/01KY32PEQHPV5F2W4HCNFJ60RD,0,0,ok
